filename,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7,manual_mean,auto_score
img_0524.png,E,1,1,1,1,1,1.0,0.2185691550925926
img_0525.png,E,1,1,1,1,1,1.0,0.09202293113425926
img_0526.png,E,0,0,0,0,0,0.0,0.09193250868055555
img_0527.png,E,2,2,2,2,2,2.0,0.4400499131944444
img_0528.png,E,0,0,0,0,0,0.0,0.036295572916666664
img_0529.png,E,1,1,1,1,1,1.0,0.06919126157407407
img_0530.png,E,0,0,0,0,0,0.0,0.2859157986111111
img_0531.png,E,1,2,1,1,1,1.2,0.162841796875
img_0532.png,E,1,1,1,1,1,1.0,0.09714988425925926
img_0533.png,E,1,1,1,1,1,1.0,0.1263111255787037
img_0534.png,E,0,0,0,0,0,0.0,0.05674913194444445
img_0535.png,E,1,1,1,1,1,1.0,0.18022099247685186
img_0536.png,E,1,1,1,1,1,1.0,0.10408528645833333
img_0537.png,E,1,1,1,1,1,1.0,0.14359989872685186
img_0538.png,E,0,0,0,0,0,0.0,0.057445384837962965
img_0539.png,E,0,0,0,0,0,0.0,0.05495876736111111
img_0540.png,E,1,1,1,1,1,1.0,0.05960648148148148
img_0541.png,E,0,0,0,0,0,0.0,0.11637369791666667
img_0542.png,E,0,0,0,0,0,0.0,0.10611979166666667
img_0543.png,E,1,1,1,1,1,1.0,0.10852502893518519
img_0544.png,E,0,0,0,0,0,0.0,0.07962601273148148
img_0545.png,E,0,0,0,0,0,0.0,0.059742115162037035
img_0546.png,E,1,1,1,1,1,1.0,0.2069408275462963
img_0547.png,E,0,0,0,0,0,0.0,0.05248119212962963
img_0548.png,E,1,0,1,1,1,0.8,0.4000922309027778
img_0549.png,E,2,2,2,1,2,1.8,0.3418850368923611
img_0550.png,E,2,2,2,2,2,2.0,0.3308987087673611
img_0551.png,E,0,0,0,0,0,0.0,0.3539360894097222
img_0552.png,E,0,0,0,0,0,0.0,0.07656069155092593
img_0553.png,E,0,0,1,1,0,0.4,0.11893265335648148
img_0554.png,E,0,0,0,0,0,0.0,0.040834780092592594
img_0555.png,E,2,2,2,2,2,2.0,0.3572184244791667
img_0556.png,E,0,0,0,0,0,0.0,0.1622992621527778
img_0557.png,E,0,1,1,0,0,0.4,0.30381040219907407
img_0558.png,E,1,1,1,1,1,1.0,0.0657009548611111
img_0559.png,E,0,0,0,1,0,0.2,0.035101996527777776
img_0560.png,E,1,1,1,1,1,1.0,0.1476146556712963
img_0561.png,E,1,1,1,1,1,1.0,0.2508590133101852
img_0562.png,E,1,1,1,1,1,1.0,0.10215024594907407
img_0563.png,E,0,0,0,0,0,0.0,0.15815791377314814
img_0564.png,E,1,1,1,1,1,1.0,0.08870442708333333
img_0565.png,E,0,0,0,0,0,0.0,0.18940791377314814
img_0566.png,E,1,1,1,1,1,1.0,0.14809389467592593
img_0567.png,E,1,2,1,2,1,1.4,0.22670717592592593
img_0568.png,E,2,2,2,2,2,2.0,0.5191175672743056
img_0569.png,E,0,0,0,0,0,0.0,0.05960648148148148
img_0570.png,E,1,1,1,1,1,1.0,0.26430483217592593
img_0571.png,E,1,2,1,1,1,1.2,0.19190357349537038
img_0572.png,E,0,0,0,0,0,0.0,0.06961624710648148
img_0573.png,E,2,2,2,2,2,2.0,0.4676197193287037
img_0574.png,E,1,1,1,1,1,1.0,0.21794524016203703
img_0575.png,E,1,2,1,1,1,1.2,0.1545952690972222
img_0576.png,E,0,0,0,0,0,0.0,0.040355541087962965
img_0577.png,E,0,0,0,0,0,0.0,0.4857516818576389
img_0578.png,E,0,0,0,0,0,0.0,0.15926106770833334
img_0579.png,E,0,1,1,1,1,0.8,0.05000361689814815
img_0580.png,E,0,1,0,1,1,0.6,0.05692997685185185
img_0581.png,E,0,0,0,0,0,0.0,0.23796477141203703
img_0582.png,E,0,1,0,1,0,0.4,0.03389937789351852
img_0583.png,E,1,1,1,1,1,1.0,0.08662471064814815
img_0584.png,E,1,2,1,1,1,1.2,0.17590784143518517
img_0585.png,E,0,0,0,0,0,0.0,0.5231797960069444
img_0586.png,E,2,2,2,2,2,2.0,0.39890769675925924
img_0587.png,E,1,1,1,1,1,1.0,0.0654025607638889
img_0588.png,E,0,0,0,0,0,0.0,0.08638961226851852
img_0589.png,E,0,2,0,1,1,0.8,0.09205005787037036
img_0590.png,E,0,0,0,0,0,0.0,0.07685004340277778
img_0591.png,E,1,1,1,1,1,1.0,0.1065990306712963
img_0592.png,E,1,1,1,1,1,1.0,0.07948133680555555
img_0593.png,E,0,0,0,0,0,0.0,0.04725477430555555
img_0594.png,E,0,0,0,0,0,0.0,0.0678439670138889
img_0595.png,E,0,1,0,0,0,0.2,0.17832212094907407
img_0596.png,E,0,0,0,1,0,0.2,0.022126374421296297
img_0597.png,E,1,2,1,1,1,1.2,0.08674225983796297
img_0598.png,E,2,2,2,2,2,2.0,0.19177698206018517
img_0599.png,E,0,0,0,0,0,0.0,0.2108493381076389
img_0600.png,E,1,1,1,1,1,1.0,0.11011646412037036
img_0601.png,E,0,0,0,0,0,0.0,0.06654188368055555
img_0602.png,E,1,1,1,1,1,1.0,0.14793113425925927
img_0603.png,E,1,1,1,1,1,1.0,0.2101982964409722
img_0604.png,E,0,0,0,0,0,0.0,0.19930013020833334
img_0605.png,E,1,1,0,1,0,0.6,0.08996129918981481
img_0606.png,E,0,0,0,0,0,0.0,0.02683738425925926
img_0607.png,E,0,1,0,1,0,0.4,0.04824037905092592
img_0608.png,E,0,0,0,0,0,0.0,0.2607896592881944
img_0609.png,E,0,0,0,0,0,0.0,0.20750144675925927
img_0610.png,E,0,0,0,0,0,0.0,0.2669949001736111
img_0611.png,E,0,0,0,0,0,0.0,0.2772488064236111
img_0612.png,E,0,0,0,1,0,0.2,0.3908420138888889
img_0613.png,E,0,0,0,0,0,0.0,0.08991608796296297
img_0614.png,E,0,1,0,1,0,0.4,0.028718171296296297
img_0615.png,E,0,0,0,0,0,0.0,0.08060257523148148
img_0616.png,E,2,2,1,2,2,1.8,0.2162814670138889
img_0617.png,E,0,0,0,0,0,0.0,0.3427666558159722
img_0618.png,E,1,2,1,1,1,1.2,0.18564633969907407
img_0619.png,E,1,1,1,1,1,1.0,0.05187536168981482
img_0620.png,E,2,2,2,2,2,2.0,0.4702623155381944
img_0621.png,E,1,2,1,1,1,1.2,0.2018500434027778
img_0622.png,E,0,0,0,0,0,0.0,0.018120659722222224
img_0623.png,E,0,1,0,0,0,0.2,0.052553530092592594
img_0624.png,E,0,0,0,0,0,0.0,0.016746238425925927
img_0625.png,E,0,0,0,0,0,0.0,0.3029988606770833
img_0626.png,E,0,0,0,0,0,0.0,0.3323234072022161
img_0627.png,E,2,2,1,2,2,1.8,0.2567726417824074
img_0628.png,E,0,0,0,0,0,0.0,0.029459635416666668
img_0629.png,E,0,0,0,0,0,0.0,0.13902452256944445
img_0630.png,E,0,0,0,0,0,0.0,0.4254014756944444
img_0631.png,E,1,2,1,1,1,1.2,0.0956127025462963
img_0632.png,E,0,0,0,0,0,0.0,0.3028700086805556
img_0633.png,E,1,1,1,1,1,1.0,0.1548394097222222
img_0634.png,E,0,0,0,0,0,0.0,0.03225368923611111
img_0635.png,E,1,1,1,1,1,1.0,0.06298828125
img_0636.png,E,0,1,0,0,0,0.2,0.066650390625
img_0637.png,E,0,0,0,0,0,0.0,0.08091001157407407
img_0638.png,E,0,0,0,0,0,0.0,0.15172887731481483
img_0639.png,E,0,0,0,0,0,0.0,0.06357602719907407
img_0640.png,E,1,1,1,1,1,1.0,0.24886067708333334
img_0641.png,E,1,1,1,1,1,1.0,0.14050745081018517
img_0642.png,E,2,2,2,2,2,2.0,0.6164889865451388
img_0643.png,E,0,0,0,0,0,0.0,0.06334092881944445
img_0644.png,E,2,2,2,2,1,1.8,0.7485894097222222
img_0645.png,E,0,0,0,0,0,0.0,0.03578920717592592
img_0646.png,E,0,0,0,0,0,0.0,0.09913917824074074
img_0647.png,E,0,0,0,0,0,0.0,0.04837601273148148
img_0648.png,E,0,1,0,1,0,0.4,0.029324001736111112
img_0649.png,E,0,0,0,0,0,0.0,0.08954535590277778
img_0650.png,E,1,1,1,1,1,1.0,0.15235279224537038
img_0651.png,E,1,1,1,1,1,1.0,0.10268373842592593
img_0652.png,E,1,1,1,1,1,1.0,0.21751121238425927
img_0653.png,E,1,1,1,1,1,1.0,0.1633933738425926
img_0654.png,E,1,1,1,1,1,1.0,0.1293312355324074
img_0655.png,E,1,1,1,1,1,1.0,0.10808195891203703
img_0656.png,E,1,1,1,1,1,1.0,0.11575882523148148
img_0657.png,E,1,1,1,1,1,1.0,0.10974573206018519
img_0658.png,E,0,0,0,0,0,0.0,0.23782913773148148
img_0659.png,E,0,0,0,0,0,0.0,0.06815140335648148
img_0660.png,E,0,0,0,0,0,0.0,0.07970739293981481
img_0661.png,E,2,2,1,2,2,1.8,0.2945240162037037
img_0662.png,E,0,0,0,0,0,0.0,0.08744755497685185
img_0663.png,E,0,1,1,0,0,0.4,0.34246826171875
img_0664.png,E,2,2,1,2,1,1.6,0.19563802083333334
img_0665.png,E,1,1,1,1,1,1.0,0.05466037326388889
img_0666.png,E,0,0,0,0,0,0.0,0.056324146412037035
img_0667.png,E,1,1,1,1,1,1.0,0.05494972511574074
img_0668.png,E,2,2,1,2,2,1.8,0.40683774594907407
img_0669.png,E,0,0,0,0,0,0.0,0.12509946469907407
img_0670.png,E,1,1,1,1,1,1.0,0.13755967881944445
img_0671.png,E,2,2,1,2,2,1.8,0.689626201495194
img_0672.png,E,0,0,0,0,0,0.0,0.04233579282407408
img_0673.png,E,0,0,0,0,0,0.0,0.06550202546296297
img_0674.png,E,1,1,1,1,1,1.0,0.09093786168981481
img_0675.png,E,1,1,1,1,1,1.0,0.08497902199074074
img_0676.png,E,0,0,0,0,0,0.0,0.08215784143518519
img_0677.png,E,1,2,1,2,1,1.4,0.6865573459201388
img_0678.png,E,1,1,1,1,1,1.0,0.3119212962962963
img_0679.png,E,0,0,0,0,0,0.0,0.21122233072916666
img_0680.png,E,0,0,0,0,0,0.0,0.045808015046296294
img_0681.png,E,1,2,2,1,2,1.6,0.19033022280092593
img_0682.png,E,1,2,1,1,1,1.2,0.12325484664351852
img_0683.png,E,0,0,0,0,0,0.0,0.13399703414351852
img_0684.png,E,0,0,0,0,0,0.0,0.2737833658854167
img_0685.png,E,0,0,0,0,0,0.0,0.05042860243055555
img_0686.png,E,2,2,2,2,2,2.0,0.4652438693576389
img_0687.png,E,1,2,1,1,1,1.2,0.20577437789351852
img_0688.png,E,1,1,1,1,1,1.0,0.07874891493055555
img_0689.png,E,1,1,1,1,1,1.0,0.03626844618055555
img_0690.png,E,0,0,0,0,0,0.0,0.07911964699074074
img_0691.png,E,0,0,0,0,0,0.0,0.040111400462962965
img_0692.png,E,0,1,0,1,0,0.4,0.08416521990740741
img_0693.png,E,0,0,0,0,0,0.0,0.5266248914930556
img_0694.png,E,2,2,2,2,2,2.0,0.4431785300925926
img_0695.png,E,1,1,1,1,1,1.0,0.04665798611111111
img_0696.png,E,0,0,0,0,0,0.0,0.1682671440972222
img_0697.png,E,1,1,1,1,1,1.0,0.12416811342592593
img_0698.png,E,0,0,0,0,0,0.0,0.10556821469907407
img_0699.png,E,0,0,0,0,0,0.0,0.0962185329861111
img_0700.png,E,2,2,2,0,2,1.6,0.5858086480034722
img_0701.png,E,1,2,1,1,1,1.2,0.3758590133101852
img_0702.png,E,0,0,0,0,0,0.0,0.07377567997685185
img_0703.png,E,1,1,1,1,1,1.0,0.18727394386574073
img_0704.png,E,0,0,0,0,0,0.0,0.07929823133680555
img_0705.png,E,0,0,0,0,0,0.0,0.2249415554635854
img_0706.png,E,0,0,0,0,0,0.0,0.04258897569444445
img_0707.png,E,1,2,1,1,1,1.2,0.16005678530092593
img_0708.png,E,1,1,1,1,1,1.0,0.6077134874131944
img_0709.png,E,0,0,0,0,0,0.0,0.1646050347222222
img_0710.png,E,1,1,1,1,1,1.0,0.113525390625
img_0711.png,E,0,0,0,0,0,0.0,0.23461009837962962
img_0712.png,E,0,1,0,1,0,0.4,0.059868706597222224
img_0713.png,E,2,2,2,2,2,2.0,0.7179633246527778
img_0714.png,E,1,1,1,1,1,1.0,0.06329571759259259
img_0715.png,E,0,0,0,0,0,0.0,0.11608434606481481
img_0716.png,E,0,0,0,0,0,0.0,0.19649703414351852
img_0717.png,E,0,1,0,0,0,0.2,0.048990885416666664
img_0718.png,E,0,0,0,0,0,0.0,0.18712926793981483
img_0719.png,E,0,0,0,0,0,0.0,0.012116608796296295
img_0720.png,E,1,1,0,1,1,0.8,0.052191840277777776
img_0721.png,E,0,1,0,0,0,0.2,0.18684895833333334
img_0722.png,E,0,0,0,0,0,0.0,0.08964482060185185
img_0723.png,E,0,0,0,0,0,0.0,0.059877748842592594
